year,last_name, first_name,player_id,pitch_hand,api_pitch_type,n_pitches,release_speed,spin_rate,movement_inches,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,api_pitch_name,active_spin_formatted,hawkeye_measured_clock_minutes,movement_inferred_clock_minutes,diff_measured_inferred,diff2,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm,hawkeye_measured_clock_label,movement_inferred_clock_label,diff_clock_label
,Fry, Jace,605240,L,FC,31,84.8,2441,4.8,0.21678289362909967,0.1913376575915014,346.9178075449522,21.234144655179676,Cutter,19,390,315,-34.31633711022744,34.316337110227465,75,6,30,5,15,1,15,6:30,5:15,+1H 15M
,Burr, Ryan,621114,R,FC,237,86.7,2313,6.1,0.28213006980842015,0.3020566428521842,260.4166933195189,297.7875880694219,Cutter,30,555,480,-37.37089474990296,37.37089474990293,75,9,15,8,0,1,15,9:15,8:00,+1H 15M
,Gant, John,607231,R,FC,382,85.4,2615,5.8,0.2529214547845827,0.26989719972502785,178.4913692739953,210.88594000904723,Cutter,27,720,660,-32.39457073505193,32.39457073505191,60,12,0,11,0,1,0,12:00,11:00,+1H 00M
,Hill, Rich,448179,L,FC,67,83.8,2428,9.7,0.4203600915108077,0.4707282309598331,183.3370613745809,164.78777986530645,Cutter,47,720,750,18.549281509274465,18.54928150927446,-30,12,0,12,30,0,30,12:00,12:30,-0H 30M
,King, John,667463,L,FC,68,87.3,2102,7.4,0.34956403990354296,0.5322815031423649,215.55263787066133,189.7776595874297,Cutter,53,645,705,25.774978283231633,25.77497828323164,-60,10,45,11,45,1,0,10:45,11:45,-1H 00M
,Rea, Colin,607067,R,FC,26,86.1,2132,7,0.3386764797101297,0.43789031277923013,169.95108950010663,206.43417812510495,Cutter,44,735,660,-36.48308862499832,36.483088624998295,75,12,15,11,0,1,15,12:15,11:00,+1H 15M
,Ryan, Kyle,594986,L,FC,33,86.5,1953,7.1,0.3544401262298528,0.48096796149302445,183.3578037071929,151.81572913053907,Cutter,48,720,60,31.542074576653818,31.542074576653807,-60,12,0,1,0,1,0,12:00,1:00,-1H 00M
,Darvish, Yu,506433,R,FC,923,86.6,2776,6.6,0.27888935539257326,0.3060071794807576,239.7190871936608,268.8313518108951,Cutter,31,600,540,-29.112264617234302,29.112264617234338,60,10,0,9,0,1,0,10:00,9:00,+1H 00M
,Davis, Wade,451584,R,FC,242,88.6,2685,7.8,0.3385132187846563,0.382796737808497,195.48576980739105,226.9434634170114,Cutter,38,690,630,-31.45769360962035,31.457693609620343,60,11,30,10,30,1,0,11:30,10:30,+1H 00M
,Gallen, Zac,668678,R,FC,175,90.3,2244,10.8,0.517414594102541,0.6098331900906353,178.70350007995617,202.61776241058968,Cutter,61,720,675,-23.914262330633505,23.91426233063349,45,12,0,11,15,0,45,12:00,11:15,+0H 45M
,Gray, Sonny,543243,R,FC,116,83.9,2584,8.1,0.35485663064852946,0.40878965923968624,284.3120701263738,309.11911029527096,Cutter,41,510,465,-24.807040168897174,24.807040168897164,45,8,30,7,45,0,45,8:30,7:45,+0H 45M
,Lauer, Eric,641778,L,FC,335,90.3,2344,12.4,0.5832812652873102,0.6915797212905029,205.90555026828613,198.3382934838088,Cutter,69,675,690,7.567256784477337,7.567256784477352,-15,11,15,11,30,0,15,11:15,11:30,-0H 15M
,Lester, Jon,452657,L,FC,606,86.4,2306,9.9,0.4500325241288401,0.5495175995214987,199.0820732283296,167.47603097606535,Cutter,55,675,750,31.606042252264245,31.606042252264267,-75,11,15,12,30,1,15,11:15,12:30,-1H 15M
,Loup, Aaron,571901,L,FC,273,84.7,2423,2.4,0.10445866508556274,0.14389080174036767,107.08538582191986,84.2331508293246,Cutter,14,150,195,22.852234992595257,22.852234992595253,-45,2,30,3,15,0,45,2:30,3:15,-0H 45M
,Lynn, Lance,458681,R,FC,774,88.7,2540,5.6,0.2473662023662729,0.33039460102479046,187.85877555813462,221.2793871871307,Cutter,33,705,630,-33.420611628996085,33.42061162899609,75,11,45,10,30,1,15,11:45,10:30,+1H 15M
,Maton, Phil,664208,R,FC,85,88,2550,7.3,0.32119346414583394,0.357167950639006,226.88693269510634,260.9458935074895,Cutter,36,630,555,-34.058960812383134,34.058960812383134,75,10,30,9,15,1,15,10:30,9:15,+1H 15M
,May, Dustin,669160,R,FC,67,93.1,2519,5,0.2183176827344151,0.3018525091097336,154.95368143964478,189.41991391250824,Cutter,30,765,705,-34.46623247286345,34.46623247286345,60,12,45,11,45,1,0,12:45,11:45,+1H 00M
,Miley, Wade,489119,L,FC,1195,85.4,2276,7.3,0.33670560745310496,0.46075970568430213,175.82682326699455,143.48056017804376,Cutter,46,735,75,32.34626308895079,32.346263088950806,-60,12,15,1,15,1,0,12:15,1:15,-1H 00M
,Moore, Matt,519043,L,FC,108,89.5,2223,13.6,0.6360239490959071,0.7414530746609956,206.45672268623764,187.94674318977147,Cutter,74,660,705,18.509979496466173,18.50997949646615,-45,11,0,11,45,0,45,11:00,11:45,-0H 45M
,Nola, Aaron,605400,R,FC,46,86.7,2179,6.7,0.3060660384545433,0.4653617438653938,153.16637257118225,191.1430419150486,Cutter,47,60,705,-37.97666934386635,37.97666934386636,75,1,0,11,45,1,15,1:00,11:45,+1H 15M
,Nolin, Sean,543594,L,FC,117,82.3,2015,6.7,0.3198746412795876,0.47610152582466125,170.03794750405282,132.02688115114665,Cutter,48,735,90,38.01106635290617,38.01106635290618,-75,12,15,1,30,1,15,12:15,1:30,-1H 15M
,Osich, Josh,592612,L,FC,147,87.2,2230,5.3,0.249506982768367,0.3010739793042068,199.96125655732737,155.0518452412602,Cutter,30,675,765,44.90941131606718,44.90941131606721,-90,11,15,12,45,1,30,11:15,12:45,-1H 30M
,Ponce, Cody,664074,R,FC,134,89.4,2320,7.8,0.36950053983663717,0.49900325401129947,177.49643910704202,212.72937321734892,Cutter,50,720,660,-35.2329341103069,35.23293411030693,60,12,0,11,0,1,0,12:00,11:00,+1H 00M
,Shaw, Bryan,543766,R,FC,1064,92.8,2404,7.8,0.36081519942612067,0.43783925889779207,191.09496408775718,225.09755909120116,Cutter,44,705,630,-34.002595003443986,34.00259500344401,75,11,45,10,30,1,15,11:45,10:30,+1H 15M
,Smith, Drew,622098,R,FC,192,87.9,2658,8.3,0.36021068676792534,0.3638210379258805,213.41615151249678,247.8699030405088,Cutter,36,660,585,-34.45375152801202,34.45375152801196,75,11,0,9,45,1,15,11:00,9:45,+1H 15M
,Smyly, Drew,592767,L,FC,242,87.6,1961,10.9,0.5420087479374104,0.7072645549263404,214.63628345963917,199.19188147193472,Cutter,71,645,675,15.444401987704452,15.444401987704465,-30,10,45,11,15,0,30,10:45,11:15,-0H 30M
,Webb, Logan,657277,R,FC,28,91.4,2232,6.3,0.2972271959931135,0.5003164903674883,133.60910925722922,157.13351600490708,Cutter,50,90,765,-23.524406747677858,23.52440674767785,45,1,30,12,45,0,45,1:30,12:45,+0H 45M
,Young, Alex,622065,L,FC,191,86,2410,8.4,0.38309506983129493,0.4007945092716786,210.12729691515096,172.96550833013558,Cutter,40,660,735,37.16178858501539,37.16178858501538,-75,11,0,12,15,1,15,11:00,12:15,-1H 15M
,Zeuch, T.J.,643615,R,FC,43,86.8,1986,6.8,0.3238230600225673,0.3814680375631174,157.6220420361301,189.1244345252604,Cutter,38,765,705,-31.5023924891303,31.502392489130322,60,12,45,11,45,1,0,12:45,11:45,+1H 00M
,Davies, Zach,605200,R,FC,193,86.6,2091,12.9,0.6251539045274226,0.7801619174712555,140.14618083283716,157.33229989982112,Cutter,78,75,765,-17.186119066983963,17.186119066983956,30,1,15,12,45,0,30,1:15,12:45,+0H 30M
,Fedde, Erick,607200,R,FC,552,89.4,2050,7,0.33655207781159524,0.4498633804792491,183.08739511906435,216.17607248365996,Cutter,45,720,645,-33.08867736459561,33.08867736459565,75,12,0,10,45,1,15,12:00,10:45,+1H 15M
,Foster, Matt,641582,R,FC,25,90.5,2327,14.2,0.6558955738646464,0.7525777485332602,176.54588578502404,191.86267965401984,Cutter,75,720,690,-15.316793868995802,15.316793868995786,30,12,0,11,30,0,30,12:00,11:30,+0H 30M
,Garcia, Luis,677651,R,FC,562,86.1,2379,8,0.3550332082314167,0.3799177125196534,210.6403666738582,240.0569317739125,Cutter,38,660,600,-29.4165651000543,29.416565100054274,60,11,0,10,0,1,0,11:00,10:00,+1H 00M
,Gibson, Kyle,502043,R,FC,425,89.5,2367,7.5,0.3426602620849762,0.518471239080754,168.46249017626968,194.86455758917808,Cutter,52,750,690,-26.402067412908394,26.4020674129084,60,12,30,11,30,1,0,12:30,11:30,+1H 00M
,Godley, Zack,643327,R,FC,36,88.5,2324,6.8,0.310226342473765,0.43129925829393745,141.9853096838098,174.0683394235123,Cutter,43,75,735,-32.08302973970251,32.083029739702525,60,1,15,12,15,1,0,1:15,12:15,+1H 00M
,Harris, Will,501789,R,FC,105,90.1,2360,13.4,0.614091525297454,0.6985226716734552,175.84551889870116,197.00379349435437,Cutter,70,735,690,-21.15827459565321,21.158274595653214,45,12,15,11,30,0,45,12:15,11:30,+0H 45M
,Junis, Jakob,596001,R,FC,108,88.8,2303,7.7,0.3593685320987511,0.43566878424520245,154.89336463580696,192.6449483203827,Cutter,44,765,690,-37.751583684575735,37.751583684575735,75,12,45,11,30,1,15,12:45,11:30,+1H 15M
,Kay, Anthony,641743,L,FC,70,88,2473,4.8,0.20983547794087778,0.24412574652512142,162.01483142828505,138.66041922501137,Cutter,24,750,90,23.354412203273682,23.354412203273693,-60,12,30,1,30,1,0,12:30,1:30,-1H 00M
,Kennedy, Ian,453178,R,FC,34,84.2,2224,7.5,0.3338859862354798,0.3699559595506498,280.7432617614344,266.27371696917635,Cutter,37,525,540,14.469544792258034,14.469544792257999,-15,8,45,9,0,0,15,8:45,9:00,-0H 15M
,Knehr, Reiss,663753,R,FC,78,88.5,2290,5.4,0.2512074801684492,0.3824681374285823,185.32278069847965,211.39745871112896,Cutter,38,705,660,-26.074678012649315,26.074678012649354,45,11,45,11,0,0,45,11:45,11:00,+0H 45M
,Kremer, Dean,665152,R,FC,207,87.2,2482,9.2,0.40184371467176,0.5184125204983895,190.3922980290255,209.80786016133425,Cutter,52,705,660,-19.415562132308736,19.415562132308732,45,11,45,11,0,0,45,11:45,11:00,+0H 45M
,Mayers, Mike,594577,R,FC,361,91.2,2327,11.2,0.5117529249680376,0.6402084609175606,155.5939417779903,173.3145055185667,Cutter,64,765,735,-17.72056374057641,17.720563740576413,30,12,45,12,15,0,30,12:45,12:15,+0H 30M
,Mazza, Chris,607391,R,FC,144,87.1,2273,7.6,0.34193923936879383,0.44175338396929503,167.75535458512354,197.60339961796,Cutter,44,750,690,-29.848045032836467,29.84804503283649,60,12,30,11,30,1,0,12:30,11:30,+1H 00M
,Minter, A.J.,621345,L,FC,383,89,2542,6.5,0.2912945916057958,0.28845869035690463,152.68356048425358,115.79474179650967,Cutter,29,60,135,36.88881868774391,36.88881868774389,-75,1,0,2,15,1,15,1:00,2:15,-1H 15M
,Nelson, Kyle,669459,L,FC,70,89,2475,8.8,0.40019254202602866,0.4408098473413398,171.55214480675113,141.02913418250773,Cutter,44,735,75,30.523010624243398,30.52301062424341,-60,12,15,1,15,1,0,12:15,1:15,-1H 00M
,Plutko, Adam,592644,R,FC,329,87.7,2386,10,0.4454553312229664,0.6175246461659283,181.8721303070918,201.09355849840864,Cutter,62,720,675,-19.221428191316846,19.221428191316853,45,12,0,11,15,0,45,12:00,11:15,+0H 45M
,Price, David,456034,L,FC,235,88.9,2004,7.7,0.38270293023558044,0.5763920566820563,214.34243769970703,182.63056383962692,Cutter,58,645,720,31.711873860080118,31.711873860080114,-75,10,45,12,0,1,15,10:45,12:00,-1H 15M
,Smith, Riley,642092,R,FC,107,84.2,2153,5.6,0.2654853402136502,0.3254980451103988,196.95734060734742,184.76141101681893,Cutter,33,690,705,12.195929590528493,12.195929590528515,-15,11,30,11,45,0,15,11:30,11:45,-0H 15M
,Tomlin, Josh,458708,R,FC,380,86,2557,10.5,0.46175079270281805,0.5291567218232496,174.85636237393675,201.35998703859445,Cutter,53,735,675,-26.503624664657707,26.503624664657696,60,12,15,11,15,1,0,12:15,11:15,+1H 00M
,Trivino, Lou,642152,R,FC,205,93,2236,9.6,0.4553266474600172,0.6266670447540275,161.24424287598794,162.50285689288808,Cutter,63,765,750,-1.2586140169001396,1.2586140169001347,15,12,45,12,30,0,15,12:45,12:30,+0H 15M
,Voth, Austin,608723,R,FC,139,90.2,2424,7.4,0.33620214095486,0.49365693225178997,185.7436172822475,210.5471780049155,Cutter,49,705,660,-24.80356072266801,24.80356072266804,45,11,45,11,0,0,45,11:45,11:00,+0H 45M
,Wade, Konner,592831,R,FC,75,87.6,2124,10.7,0.5037652978875758,0.6238519956158426,148.5776619248416,167.62758206532234,Cutter,62,60,750,-19.049920140480737,19.049920140480726,30,1,0,12,30,0,30,1:00,12:30,+0H 30M
