year,last_name, first_name,player_id,pitch_hand,api_pitch_type,n_pitches,release_speed,spin_rate,movement_inches,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,api_pitch_name,active_spin_formatted,hawkeye_measured_clock_minutes,movement_inferred_clock_minutes,diff_measured_inferred,diff2,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm,hawkeye_measured_clock_label,movement_inferred_clock_label,diff_clock_label
,Tice, Ty,676709,R,FF,61,94.2,2206,15.8,0.7590318850851868,0.8522026995091688,153.66575550254885,152.0065213065107,4-Seam Fastball,85,60,60,1.6592341960381418,1.6592341960381676,0,1,0,1,0,0,0,1:00,1:00, 0H 00M
,Flaa, Jay,664852,R,FF,37,91.7,2054,20.8,0.9826912445316449,0.9956505063559823,159.7414445826697,162.31949766607295,4-Seam Fastball,100,765,750,-2.578053083403262,2.5780530834032565,15,12,45,12,30,0,15,12:45,12:30,+0H 15M
,Fry, Paul,643316,L,FF,469,92.8,2331,13.5,0.6230634563227309,0.6687599128228611,224.81443548643082,205.9390736313138,4-Seam Fastball,67,630,675,18.875361855117035,18.875361855117035,-45,10,30,11,15,0,45,10:30,11:15,-0H 45M
,Gil, Luis,661563,R,FF,284,96.1,2445,18,0.8277850830319594,0.848475204771733,159.99922344729833,164.83752239965688,4-Seam Fastball,85,765,750,-4.838298952358542,4.838298952358546,15,12,45,12,30,0,15,12:45,12:30,+0H 15M
,Gray, Jon,592351,R,FF,1196,94.9,2152,17,0.9010297818993718,0.9554120715898933,139.44958367936474,127.26956998837127,4-Seam Fastball,96,75,105,12.180013690993462,12.18001369099345,-30,1,15,1,45,0,30,1:15,1:45,-0H 30M
,Hill, Tim,657612,L,FF,428,92,2257,20.1,0.9410521021555647,0.9789384042306535,263.68976686292024,261.26598630654496,4-Seam Fastball,98,555,555,2.4237805563752772,2.4237805563752834,0,9,15,9,15,0,0,9:15,9:15, 0H 00M
,Krol, Ian,571871,L,FF,66,93.7,2381,18.5,0.8714480384821743,0.9319675703435056,215.13579056434293,209.61778077510445,4-Seam Fastball,93,645,660,5.5180097892384765,5.518009789238488,-15,10,45,11,0,0,15,10:45,11:00,-0H 15M
,Puk, A.J.,640462,L,FF,96,95.5,2213,16.4,0.7761015550037214,0.8531434290840193,227.20137474556347,214.89807486964918,4-Seam Fastball,85,630,645,12.303299875914291,12.303299875914268,-15,10,30,10,45,0,15,10:30,10:45,-0H 15M
,Ross, Joe,605452,R,FF,266,93.6,2116,15,0.7295790451932913,0.8543668036892742,147.08411675620962,157.1891009772679,4-Seam Fastball,85,60,765,-10.104984221058288,10.10498422105829,15,1,0,12,45,0,15,1:00,12:45,+0H 15M
,Ryan, Joe,657746,R,FF,270,91.2,2172,18,0.8657481939813265,0.9692912030215922,140.28902734510547,140.83768289974165,4-Seam Fastball,97,75,75,-0.5486555546361842,0.5486555546362099,0,1,15,1,15,0,0,1:15,1:15, 0H 00M
,Adon, Joan,672851,R,FF,50,95,2206,19,0.9207982615715773,0.9730425497210452,145.15529885447143,143.67490491165327,4-Seam Fastball,97,75,75,1.4803939428181536,1.4803939428181412,0,1,15,1,15,0,0,1:15,1:15, 0H 00M
,Baz, Shane,669358,R,FF,108,97,2415,20.4,0.936415917073622,0.9190849588421766,142.74172237802458,149.79227884120561,4-Seam Fastball,92,75,60,-7.050556463181039,7.0505564631810484,15,1,15,1,0,0,15,1:15,1:00,+0H 15M
,Burr, Ryan,621114,R,FF,297,94.7,2001,15.1,0.7703954643893488,0.9002858736476129,171.97728295150156,174.3894257634688,4-Seam Fastball,90,735,735,-2.412142811967243,2.4121428119672386,0,12,15,12,15,0,0,12:15,12:15, 0H 00M
,Bush, Matt,456713,R,FF,36,95.2,2672,20,0.8941243389118321,0.8841058456504187,156.72931873241131,159.22370883815825,4-Seam Fastball,88,765,765,-2.4943901057469304,2.494390105746933,0,12,45,12,45,0,0,12:45,12:45, 0H 00M
,Cobb, Alex,502171,R,FF,74,93.1,2107,19.4,0.9455030994959038,0.9729141054982829,141.6519790501141,145.58919026982394,4-Seam Fastball,97,75,75,-3.9372112197098375,3.9372112197098414,0,1,15,1,15,0,0,1:15,1:15, 0H 00M
,Cody, Kyle,621129,R,FF,82,95.1,2059,17,0.8347022828734838,0.9523265275118131,153.5674219681487,153.77852939825829,4-Seam Fastball,95,60,765,-0.21110743010959254,0.2111074301095793,15,1,0,12,45,0,15,1:00,12:45,+0H 15M
,Cole, A.J.,595918,R,FF,48,93.8,2322,19.1,0.889003298722878,0.9548518856150249,149.28227996319657,156.43037061600126,4-Seam Fastball,95,60,765,-7.148090652804683,7.148090652804695,15,1,0,12,45,0,15,1:00,12:45,+0H 15M
,Crowe, Wil,640444,R,FF,757,93.7,2407,16.3,0.760594983957032,0.810060983454502,158.2050062735633,168.60737574377904,4-Seam Fastball,81,765,750,-10.402369470215746,10.402369470215765,15,12,45,12,30,0,15,12:45,12:30,+0H 15M
