Name,Pos,Org,Top 100,Org Rk,Age,TJ Date,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,playerId
"Grayson Rodriguez","SP","BAL",10,2,"21.8972222",,"Tail","60 / 60","50 / 55","55 / 55","55 / 60","40 / 50",2400,2650,"90-95","97","60","sa3008130"
"Max Meyer","SP","MIA",19,1,"22.575",,"Sink/Tail","55 / 60","60 / 60","","45 / 55","30 / 45",2600,2600,"94-98","101","55","sa3014430"
"D.L. Hall","MIRP","BAL",28,3,"23.0555555",,"Tail","60 / 60","","55 / 60","55 / 60","30 / 40",2400,2500,"93-96","98","55","sa3005282"
"Asa Lacy","SP","KCR",29,2,"22.3527777",,"Rise","60 / 70","60 / 70","55 / 60","45 / 50","30 / 45",2200,2400,"93-96","98","55","sa3014423"
"Jack Leiter","SP","TEX",31,1,"21.2222222",,"Rise","55 / 60","50 / 55","55 / 55","40 / 55","30 / 55",2100,2250,"93-97","99","50",
"Reid Detmers","SP","LAA",33,1,"22.2527777",,,"50 / 55","40 / 45","65 / 70","45 / 55","45 / 60",2150,2600,"89-92","94","50","27468"
"Hunter Greene","SP","CIN",34,2,"22.175","4/9/19","Tail","60 / 65","50 / 55","","45 / 55","35 / 60",2300,2325,"95-98","103","50","sa3005315"
"Quinn Priester","SP","PIT",35,2,"21.0666666",,"Rise","55 / 55","","70 / 80","","30 / 45",2150,2500,"94-97","99","50","sa3011297"
"Sixto Sanchez","SP","MIA",36,2,"23.1944444",,"Tail","60 / 60","50 / 50","","60 / 70","50 / 55",2100,2400,"95-99","101","50","19680"
"Emerson Hancock","SP","SEA",38,3,"22.3583333",,"Tail","50 / 55","55 / 60","45 / 50","55 / 60","35 / 55",2450,2200,"93-96","97","50","sa3014456"
"Edward Cabrera","SP","MIA",40,3,"23.4888888",,"Tail","60 / 60","50 / 60","","45 / 55","45 / 50",2250,2300,"93-97","99","50","21690"
"George Kirby","SP","SEA",41,4,"23.6694444",,"Rise","60 / 60","40 / 45","50 / 50","45 / 50","55 / 70",2150,2300,"95-99","100","50","sa3011526"
"Jordan Balazovic","SP","MIN",44,2,"23.0611111",,"Rise","55 / 55","50 / 55","55 / 55","40 / 45","45 / 55",2150,2200,"91-94","96","50","sa918017"
"Matthew Liberatore","SP","STL",45,2,"21.925",,"Sink","45 / 50","45 / 55","60 / 60","50 / 55","35 / 55",2000,2800,"92-95","97","50","sa3008163"
"Roansy Contreras","SP","PIT",49,3,"21.9222222",,"Rise","50 / 55","50 / 55","","50 / 55","45 / 50",2400,2500,"92-95","96","50","22810"
"Daniel Espino","SP","CLE",50,1,"20.7611111",,"Sink/Tail","65 / 65","55 / 60","50 / 55","45 / 55","30 / 50",2250,2600,"94-97","99","50","sa3011495"
"Luis Medina","MIRP","NYY",53,3,"22.4333333",,"Tail","65 / 70","","60 / 70","45 / 55","30 / 40",2500,2350,"94-98","101","50","sa928510"
"Mick Abel","SP","PHI",54,1,"20.1416666",,"Rise/Tail","50 / 60","","50 / 60","45 / 55","25 / 55",2450,2300,"92-94","97","50","sa3014534"
"Matt Allan","SP","NYM",56,4,"20.4777777",,"Rise","55 / 60","","55 / 70","45 / 60","30 / 45",2450,2600,"93-96","97","50","sa3011740"
"Shane Baz","SIRP","TBR",59,3,"22.3111111",,"Rise","60 / 60","50 / 50","50 / 50","55 / 60","45 / 50",2600,2550,"92-97","100","50","22264"
"Cade Cavalli","SP","WSN",60,2,"23.1527777",,"Rise/Tail","70 / 70","45 / 50","","60 / 70","30 / 45",2300,2300,"93-97","101","50","sa3014421"
"Slade Cecconi","SP","ARI",68,4,"22.2916666",,"Rise/Tail","55 / 60","55 / 60","50 / 55","40 / 45","35 / 50",,,"92-96","97","50","sa3014739"
"Miguel Yajure","SP","PIT",69,5,"23.4388888","11/22/16","Cut/Rise","50 / 55","","50 / 50","50 / 55","50 / 60",2250,2600,"91-95","97","50","21111"
"Deivi Garcia","SP","NYY",80,5,"22.3888888",,"Rise","50 / 50","45 / 50","60 / 60","55 / 60","50 / 55",2200,2700,"91-95","97","50","20276"
"Jhoan Duran","SP","MIN",81,4,"23.7527777",,"Sink","60 / 60","","50 / 55","45 / 50","40 / 45",1800,2700,"95-99","101","50","sa873347"
"Gregory Santos","MIRP","SFG",84,5,"22.1138888",,"Cut","60 / 60","60 / 70","","45 / 50","30 / 45",2450,2650,"93-98","100","50","21894"
"Simeon Woods Richardson","SP","MIN",85,5,"21.0333333",,"Cut/Rise","50 / 55","","50 / 50","55 / 60","40 / 55",2300,2350,"90-94","97","50","sa3008423"
"Nick Lodolo","SP","CIN",89,4,"23.6777777",,"Tail","45 / 50","","55 / 55","50 / 55","45 / 55",2250,2400,"91-94","96","50","sa917947"
"Tahnaj Thomas","SP","PIT",90,7,"22.3138888",,"Rise","70 / 80","45 / 55","","30 / 40","35 / 60",2300,2400,"93-98","100","50","sa3003066"
"Hunter Brown","SP","HOU",93,3,"23.1111111",,"Cut/Rise","60 / 60","50 / 55","60 / 70","40 / 50","30 / 45",2300,2500,"92-95","97","50","sa3010571"
"Seth Johnson","SP","TBR",94,6,"23.0555555",,"Rise","55 / 60","50 / 60","45 / 50","40 / 45","30 / 50",2400,2650,"92-97","99","50","sa3011342"
"Aaron Ashby","MIRP","MIL",96,1,"23.375",,"Tail","55 / 60","55 / 60","55 / 60","45 / 50","30 / 40",2050,2300,"94-97","98","50","23550"
"Matt Canterino","MIRP","MIN",97,6,"23.8194444",,"Cut/Rise","50 / 55","55 / 60","50 / 55","55 / 60","40 / 45",2200,2450,"90-93","95","50","sa3011530"
"MacKenzie Gore","SP","SDP",101,4,"22.625",,"Rise","60 / 60","50 / 55","50 / 50","50 / 60","40 / 55",2150,2000,"91-95","97","50","sa3005068"
"Bryan Mata","MIRP","BOS",,5,"22.4333333",,"Sink","60 / 60","45 / 45","50 / 50","55 / 60","40 / 50",2500,2600,"93-96","99","45+","sa917784"
"Jackson Jobe","SP","DET",,4,"18.9472222",,"Tail","50 / 55","55 / 60","","45 / 55","20 / 50",,,"93-95","96","45+",
"Cole Winn","SP","TEX",,5,"21.8722222",,,"50 / 55","45 / 50","50 / 55","50 / 55","35 / 50",2350,2500,"92-94","96","45+","sa3008662"
"Brailyn Marquez","SIRP","CHC",,6,"22.6916666",,"Sink/Tail","70 / 80","45 / 45","","50 / 55","30 / 35",2250,2250,"93-97","100","45+","21896"
"Alec Marsh","SP","KCR",,3,"23.4027777",,,"60 / 60","50 / 55","50 / 50","45 / 50","35 / 50",2400,2350,"94-97","100","45+","sa1159950"
"Jackson Rutledge","SP","WSN",,5,"22.5222222",,,"70 / 70","60 / 70","45 / 50","45 / 50","30 / 40",2450,2350,"95-98","101","45+","sa3011338"
"Kyle Harrison","SP","SFG",,8,"20.1583333",,"Tail","50 / 55","45 / 50","","45 / 60","25 / 55",,,"90-92","94","45+","sa3014513"
"Clarke Schmidt","SP","NYY",,7,"25.6361111","5/3/17","Sink","60 / 60","","70 / 70","40 / 45","45 / 45",2350,3000,"91-95","96","45+","19899"
"Yoendrys Gomez","SP","NYY",,8,"21.9833333",,"Rise/Tail","55 / 60","","50 / 55","40 / 50","40 / 55",2500,2550,"93-96","98","45+","sa3004650"
"Blake Walston","SP","ARI",,7,"20.2805555",,"Rise","40 / 45","40 / 45","55 / 70","45 / 55","25 / 55",2150,,"88-92","93","45+","sa3011814"
"Lyon Richardson","SP","CIN",,5,"21.725",,"Rise","45 / 50","45 / 50","50 / 50","45 / 55","45 / 55",2250,2500,"89-93","95","45+","sa3007727"
"Ryan Pepiot","MIRP","LAD",,5,"24.1333333",,"Rise","55 / 60","","50 / 55","60 / 70","35 / 45",2450,2800,"90-93","94","45+","sa3011244"
"Clayton Beeter","SIRP","LAD",,6,"23","10/1/17","Rise","70 / 70","70 / 70","60 / 60","30 / 40","30 / 40",2550,2800,"94-97","98","45+","sa3014536"
"Bobby Miller","SP","LAD",,7,"22.5111111",,"Sink","60 / 65","55 / 60","","45 / 55","30 / 45",2200,2350,"92-96","98","45+","sa3014422"
"JJ Goss","SP","TBR",,10,"20.7888888",,"Tail","50 / 55","50 / 55","","","35 / 55",2600,2400,"91-94","96","45+","sa3011420"
"Bubba Chandler","SS/SP","PIT",,10,"18.825",,"Rise","35 / 55","","45 / 55","35 / 50","25 / 55",,,"88-91","92","45","sa3017428"
"Brennan Malone","SP","PIT",,12,"21.0861111",,"Sink","55 / 60","50 / 55","50 / 55","40 / 50","35 / 50",2300,2300,"92-96","99","45","sa3011741"
"Noah Song","SP","BOS",,7,"24.3638888",,"Rise/Tail","55 / 60","50 / 55","50 / 55","40 / 45","40 / 50",2350,2500,"93-95","99","45","sa3011695"
"Cody Bolton","SP","PIT",,14,"23.3055555",,"Sink","50 / 50","55 / 55","","50 / 50","50 / 50",2450,2600,"92-95","97","45","sa3004975"
"Connor Seabold","SP","BOS",,8,"25.7083333",,"Rise","45 / 50","50 / 50","45 / 45","55 / 60","55 / 60",,,"90-93","94","45","19695"
"Wilkelman Gonzalez","SP","BOS",,9,"19.2944444",,"Rise/Tail","55 / 60","50 / 55","","55 / 60","25 / 50",,2900,"94-96","98","45","sa3008687"
"Reese Olson","SP","DET",,7,"22.1916666",,"Rise","55 / 60","60 / 60","50 / 55","60 / 60","30 / 40",,,"93-96","97","45","sa3008513"
"Ty Madden","SP","DET",,8,"21.3888888",,"Rise","50 / 55","55 / 60","45 / 45","40 / 50","35 / 55",,,"91-95","98","45",
"Yerry Rodriguez","SP","TEX",,9,"23.9833333",,"Tail","50 / 55","50 / 55","","50 / 55","45 / 50",2500,2700,"92-96","98","45","sa918130"
"Joey Wentz","SP","DET",,9,"24.0083333","3/17/20","Cut/Rise","45 / 45","","45 / 50","55 / 60","45 / 55",2350,2350,"88-92","94","45","sa917946"
